Gender,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Avg_Daily_Screen_hr
Male,Smartphone,Yes,Poor Sleep,6.0
Male,Smartphone,Yes,Poor Sleep,4.49
Male,Smartphone,Yes,Poor Sleep,5.29
Male,TV,Yes,Poor Sleep,6.22
Male,Smartphone,Yes,Poor Sleep,6.18
Female,TV,Yes,Poor Sleep,8.27
Male,Smartphone,Yes,Poor Sleep,5.53
Female,Laptop,Yes,Poor Sleep,3.7
Male,Smartphone,Yes,Poor Sleep,4.45
Male,Smartphone,Yes,Poor Sleep,7.77
Male,TV,Yes,Poor Sleep,4.59
Female,Laptop,Yes,Poor Sleep,5.15
Male,Smartphone,Yes,Poor Sleep,3.35
Male,Smartphone,Yes,Poor Sleep,3.93
Male,Tablet,Yes,Poor Sleep,4.41
Male,Laptop,Yes,Poor Sleep,3.09
Female,TV,Yes,Poor Sleep,7.11
Male,Tablet,Yes,Poor Sleep,3.91
Female,Laptop,Yes,Poor Sleep,4.2
Male,Smartphone,Yes,Poor Sleep,3.14
Male,Smartphone,Yes,Poor Sleep,9.35
Female,Smartphone,Yes,Poor Sleep,3.24
Female,TV,Yes,Poor Sleep,3.18
Female,Smartphone,Yes,Poor Sleep,3.74
Male,Smartphone,Yes,Poor Sleep,4.26
Female,Smartphone,Yes,Poor Sleep,5.5
Male,Laptop,Yes,Poor Sleep,5.41
Male,TV,Yes,Poor Sleep,5.64
Male,Laptop,Yes,Poor Sleep,3.85
Female,TV,Yes,Poor Sleep,4.32
Female,Laptop,Yes,Poor Sleep,5.48
Female,Laptop,Yes,Poor Sleep,4.45
Female,TV,Yes,Poor Sleep,4.78
Male,Smartphone,Yes,Poor Sleep,7.02
Female,Smartphone,Yes,Poor Sleep,4.17
Female,Smartphone,Yes,Poor Sleep,5.68
Female,Smartphone,Yes,Poor Sleep,4.43
Female,Tablet,Yes,Poor Sleep,3.76
Female,Smartphone,Yes,Poor Sleep,4.84
Male,Smartphone,Yes,Poor Sleep,3.93
Female,Smartphone,Yes,Poor Sleep,3.92
Male,Smartphone,Yes,Poor Sleep,4.99
Female,Smartphone,Yes,Poor Sleep,3.55
Female,Smartphone,Yes,Poor Sleep,6.64
Female,TV,Yes,Poor Sleep,4.42
Female,Smartphone,Yes,Poor Sleep,5.58
Male,Smartphone,Yes,Poor Sleep,5.29
Male,TV,Yes,Poor Sleep,4.35
Male,Tablet,Yes,Poor Sleep,4.05
Male,TV,Yes,Poor Sleep,3.69
Male,Smartphone,Yes,Poor Sleep,5.53
Male,Smartphone,Yes,Poor Sleep,4.98
Male,Smartphone,Yes,Poor Sleep,6.49
Male,Laptop,Yes,Poor Sleep,5.97
Male,Smartphone,Yes,Poor Sleep,4.31
Male,Tablet,Yes,Poor Sleep,5.59
Female,Laptop,Yes,Poor Sleep,5.54
Female,TV,Yes,Poor Sleep,3.04
Female,Smartphone,Yes,Poor Sleep,3.56
Male,TV,Yes,Poor Sleep,4.87
Female,Laptop,Yes,Poor Sleep,3.64
Male,Laptop,Yes,Poor Sleep,3.77
Female,Tablet,Yes,Poor Sleep,3.59
Male,TV,Yes,Poor Sleep,3.03
Female,Smartphone,Yes,Poor Sleep,6.89
Male,Smartphone,Yes,Poor Sleep,4.72
Female,Smartphone,Yes,Poor Sleep,3.13
Male,Smartphone,Yes,Poor Sleep,5.3
Female,Smartphone,Yes,Poor Sleep,5.1
Male,Smartphone,Yes,Poor Sleep,4.89
Male,Smartphone,Yes,Poor Sleep,3.6
Female,TV,Yes,Poor Sleep,4.84
Female,Smartphone,Yes,Poor Sleep,5.35
Male,Smartphone,Yes,Poor Sleep,3.06
Female,Laptop,Yes,Poor Sleep,6.87
Male,Smartphone,Yes,Poor Sleep,7.04
Female,Tablet,Yes,Poor Sleep,5.98
Female,Smartphone,Yes,Poor Sleep,3.67
Female,Smartphone,Yes,Poor Sleep,3.11
Female,Smartphone,Yes,Poor Sleep,5.61
Male,TV,Yes,Poor Sleep,3.03
Female,Laptop,Yes,Poor Sleep,6.04
Female,Smartphone,Yes,Poor Sleep,5.49
Male,Smartphone,Yes,Poor Sleep,5.23
Male,Laptop,Yes,Poor Sleep,3.45
Male,TV,Yes,Poor Sleep,5.17
Male,Laptop,Yes,Poor Sleep,5.5
Male,Smartphone,Yes,Poor Sleep,3.85
Female,Smartphone,Yes,Poor Sleep,8.95
Male,Laptop,Yes,Poor Sleep,4.46
Male,Tablet,Yes,Poor Sleep,5.31
Female,Laptop,Yes,Poor Sleep,3.58
Female,Tablet,Yes,Poor Sleep,7.85
Male,Smartphone,Yes,Poor Sleep,4.28
Female,Smartphone,Yes,Poor Sleep,4.84
Male,TV,Yes,Poor Sleep,6.25
Male,Tablet,Yes,Poor Sleep,5.86
Female,Smartphone,Yes,Poor Sleep,6.94
Male,TV,Yes,Poor Sleep,7.05
Male,Smartphone,Yes,Poor Sleep,5.41
Female,TV,Yes,Poor Sleep,4.75
Male,TV,Yes,Poor Sleep,5.33
Male,Smartphone,Yes,Poor Sleep,5.43
Female,Smartphone,Yes,Poor Sleep,3.4
Male,Smartphone,Yes,Poor Sleep,5.85
Male,Smartphone,Yes,Poor Sleep,4.3
Male,Smartphone,Yes,Poor Sleep,3.72
Male,TV,Yes,Poor Sleep,3.05
Male,Laptop,Yes,Poor Sleep,5.01
Male,Smartphone,Yes,Poor Sleep,6.21
Female,TV,Yes,Poor Sleep,5.35
Male,Laptop,Yes,Poor Sleep,3.45
Female,Smartphone,Yes,Poor Sleep,6.14
Male,Smartphone,Yes,Poor Sleep,3.83
Male,Smartphone,Yes,Poor Sleep,5.09
Male,Laptop,Yes,Poor Sleep,5.51
Female,Smartphone,Yes,Poor Sleep,3.11
Male,Smartphone,Yes,Poor Sleep,4.87
Female,Laptop,Yes,Poor Sleep,6.32
Female,Laptop,Yes,Poor Sleep,6.19
Male,Smartphone,Yes,Poor Sleep,7.64
Male,TV,Yes,Poor Sleep,6.81
Female,TV,Yes,Poor Sleep,7.32
Male,Smartphone,Yes,Poor Sleep,4.17
Male,Tablet,Yes,Poor Sleep,8.55
Female,Smartphone,Yes,Poor Sleep,4.76
Male,Laptop,Yes,Poor Sleep,4.11
Female,Smartphone,Yes,Poor Sleep,4.45
Male,TV,Yes,Poor Sleep,8.51
Male,Tablet,Yes,Poor Sleep,5.7
Male,Smartphone,Yes,Poor Sleep,3.44
Male,Tablet,Yes,Poor Sleep,4.26
Male,Smartphone,Yes,Poor Sleep,3.39
Male,Laptop,Yes,Poor Sleep,3.37
Male,Laptop,Yes,Poor Sleep,4.71
Male,Smartphone,Yes,Poor Sleep,4.41
Male,Laptop,Yes,Poor Sleep,3.48
Female,Smartphone,Yes,Poor Sleep,4.11
Female,Smartphone,Yes,Poor Sleep,4.61
Male,TV,Yes,Poor Sleep,3.91
Male,TV,Yes,Poor Sleep,5.92
Female,TV,Yes,Poor Sleep,4.06
Male,Smartphone,Yes,Poor Sleep,4.35
Male,Smartphone,Yes,Poor Sleep,3.71
Male,Smartphone,Yes,Poor Sleep,4.8
Male,Laptop,Yes,Poor Sleep,7.07
Female,Tablet,Yes,Poor Sleep,6.49
Female,TV,Yes,Poor Sleep,4.0
Male,Smartphone,Yes,Poor Sleep,7.12
Male,Smartphone,Yes,Poor Sleep,5.39
Male,TV,Yes,Poor Sleep,7.77
Male,Smartphone,Yes,Poor Sleep,5.08
Female,Smartphone,Yes,Poor Sleep,3.14
Female,TV,Yes,Poor Sleep,4.6
Male,TV,Yes,Poor Sleep,3.64
Male,Smartphone,Yes,Poor Sleep,3.32
Female,TV,Yes,Poor Sleep,3.62
Female,TV,Yes,Poor Sleep,4.02
Male,Smartphone,Yes,Poor Sleep,7.08
Female,Smartphone,Yes,Poor Sleep,4.91
Female,Laptop,Yes,Poor Sleep,5.41
Female,Smartphone,Yes,Poor Sleep,5.84
Female,TV,Yes,Poor Sleep,4.45
Female,Smartphone,Yes,Poor Sleep,4.08
Male,Smartphone,Yes,Poor Sleep,4.21
Female,Smartphone,Yes,Poor Sleep,4.29
Male,TV,Yes,Poor Sleep,3.41
Male,Smartphone,Yes,Poor Sleep,4.33
Male,Tablet,Yes,Poor Sleep,3.25
Female,Smartphone,Yes,Poor Sleep,4.18
Female,Laptop,Yes,Poor Sleep,3.79
Male,Smartphone,Yes,Poor Sleep,4.27
Female,Laptop,Yes,Poor Sleep,5.82
Female,Laptop,Yes,Poor Sleep,6.12
Female,Smartphone,Yes,Poor Sleep,6.42
Male,Smartphone,Yes,Poor Sleep,5.65
Male,Tablet,Yes,Poor Sleep,4.56
Female,Laptop,Yes,Poor Sleep,5.25
Female,Tablet,Yes,Poor Sleep,5.88
Female,Tablet,Yes,Poor Sleep,3.08
Male,Smartphone,Yes,Poor Sleep,4.93
Female,Tablet,Yes,Poor Sleep,3.72
Male,Smartphone,Yes,Poor Sleep,3.81
Female,TV,Yes,Poor Sleep,4.99
Female,Smartphone,Yes,Poor Sleep,4.73
Female,TV,Yes,Poor Sleep,5.11
Female,Smartphone,Yes,Poor Sleep,3.7
Female,TV,Yes,Poor Sleep,3.27
Female,Smartphone,Yes,Poor Sleep,4.19
Female,Laptop,Yes,Poor Sleep,3.99
Female,Tablet,Yes,Poor Sleep,6.32
Female,TV,Yes,Poor Sleep,8.26
Male,Laptop,Yes,Poor Sleep,4.26
Male,Smartphone,Yes,Poor Sleep,4.51
Female,Smartphone,Yes,Poor Sleep,4.1
Female,Smartphone,Yes,Poor Sleep,5.91
Female,Smartphone,Yes,Poor Sleep,7.73
Female,Smartphone,Yes,Poor Sleep,4.17
Male,TV,Yes,Poor Sleep,3.82
Male,Smartphone,Yes,Poor Sleep,5.05
Male,Laptop,Yes,Poor Sleep,5.69
Male,TV,Yes,Poor Sleep,3.21
Male,Smartphone,Yes,Poor Sleep,3.96
Male,Smartphone,Yes,Poor Sleep,3.26
Male,TV,Yes,Poor Sleep,4.87
Male,Smartphone,Yes,Poor Sleep,4.75
Female,Smartphone,Yes,Poor Sleep,5.35
Female,TV,Yes,Poor Sleep,3.39
Female,Smartphone,Yes,Poor Sleep,3.77
Male,Smartphone,Yes,Poor Sleep,5.13
Female,Tablet,Yes,Poor Sleep,5.68
Female,Laptop,Yes,Poor Sleep,5.25
Female,Smartphone,Yes,Poor Sleep,3.31
Male,Smartphone,Yes,Poor Sleep,4.58
Male,Tablet,Yes,Poor Sleep,6.59
Female,Tablet,Yes,Poor Sleep,6.46
Female,Laptop,Yes,Poor Sleep,7.55
Female,Laptop,Yes,Poor Sleep,5.22
Male,Smartphone,Yes,Poor Sleep,4.97
Male,TV,Yes,Poor Sleep,4.19
Male,TV,Yes,Poor Sleep,4.75
Male,Smartphone,Yes,Poor Sleep,5.54
Female,TV,Yes,Poor Sleep,4.27
Female,Smartphone,Yes,Poor Sleep,6.56
Female,Smartphone,Yes,Poor Sleep,3.62
Male,Smartphone,Yes,Poor Sleep,3.94
Female,Smartphone,Yes,Poor Sleep,4.04
Female,TV,Yes,Poor Sleep,4.98
Male,Smartphone,Yes,Poor Sleep,4.9
Female,Smartphone,Yes,Poor Sleep,11.77
Male,TV,Yes,Poor Sleep,4.12
Male,Smartphone,Yes,Poor Sleep,6.64
Male,TV,Yes,Poor Sleep,3.18
Male,TV,Yes,Poor Sleep,5.13
Female,Smartphone,Yes,Poor Sleep,5.55
Female,TV,Yes,Poor Sleep,5.05
Female,TV,Yes,Poor Sleep,3.22
Female,Smartphone,Yes,Poor Sleep,4.0
Female,Tablet,Yes,Poor Sleep,6.9
Female,TV,Yes,Poor Sleep,3.05
Male,Smartphone,Yes,Poor Sleep,4.61
Female,TV,Yes,Poor Sleep,5.62
Male,Smartphone,Yes,Poor Sleep,5.18
Female,Smartphone,Yes,Poor Sleep,3.01
Male,Tablet,Yes,Poor Sleep,3.56
Male,Smartphone,Yes,Poor Sleep,5.15
Male,Laptop,Yes,Poor Sleep,4.15
Female,Laptop,Yes,Poor Sleep,4.75
Male,Smartphone,Yes,Poor Sleep,5.5
Male,Smartphone,Yes,Poor Sleep,5.15
Female,Smartphone,Yes,Poor Sleep,4.53
Female,Smartphone,Yes,Poor Sleep,3.2
Male,TV,Yes,Poor Sleep,5.13
Male,TV,Yes,Poor Sleep,6.44
Female,Smartphone,Yes,Poor Sleep,3.38
Male,Smartphone,Yes,Poor Sleep,6.84
Female,TV,Yes,Poor Sleep,4.57
Male,Smartphone,Yes,Poor Sleep,4.59
Female,TV,Yes,Poor Sleep,3.6
Female,Tablet,Yes,Poor Sleep,5.96
Male,TV,Yes,Poor Sleep,3.55
Male,TV,Yes,Poor Sleep,5.52
Male,TV,Yes,Poor Sleep,5.37
Female,Smartphone,Yes,Poor Sleep,8.08
Male,Smartphone,Yes,Poor Sleep,5.75
Female,TV,Yes,Poor Sleep,6.05
Female,Smartphone,Yes,Poor Sleep,6.79
Female,Tablet,Yes,Poor Sleep,4.64
Female,TV,Yes,Poor Sleep,7.0
Male,Laptop,Yes,Poor Sleep,5.05
Female,Tablet,Yes,Poor Sleep,7.23
Male,TV,Yes,Poor Sleep,4.38
Female,Laptop,Yes,Poor Sleep,5.45
Female,Smartphone,Yes,Poor Sleep,4.27
Female,Laptop,Yes,Poor Sleep,4.05
Male,Smartphone,Yes,Poor Sleep,5.87
Female,Tablet,Yes,Poor Sleep,3.68
Female,Laptop,Yes,Poor Sleep,4.07
Female,Laptop,Yes,Poor Sleep,3.21
Female,Smartphone,Yes,Poor Sleep,3.09
Male,Smartphone,Yes,Poor Sleep,4.21
Female,Laptop,Yes,Poor Sleep,3.27
Male,Smartphone,Yes,Poor Sleep,4.53
Female,Smartphone,Yes,Poor Sleep,4.69
Male,Smartphone,Yes,Poor Sleep,4.98
Male,TV,Yes,Poor Sleep,3.57
Female,Laptop,Yes,Poor Sleep,3.83
Male,Laptop,Yes,Poor Sleep,4.45
Female,Laptop,Yes,Poor Sleep,5.38
Male,TV,Yes,Poor Sleep,5.44
Male,Tablet,Yes,Poor Sleep,4.42
Female,TV,Yes,Poor Sleep,5.18
Female,Smartphone,Yes,Poor Sleep,3.64
Female,Laptop,Yes,Poor Sleep,5.25
Female,Smartphone,Yes,Poor Sleep,4.54
Female,Laptop,Yes,Poor Sleep,4.52
Male,Smartphone,Yes,Poor Sleep,5.18
Male,Smartphone,Yes,Poor Sleep,3.65
Male,Tablet,Yes,Poor Sleep,3.64
Male,Smartphone,Yes,Poor Sleep,4.95
Male,TV,Yes,Poor Sleep,4.54
Male,Tablet,Yes,Poor Sleep,5.75
Male,Smartphone,Yes,Poor Sleep,7.58
Male,Smartphone,Yes,Poor Sleep,4.83
Female,Smartphone,Yes,Poor Sleep,7.54
Male,TV,Yes,Poor Sleep,3.22
Female,TV,Yes,Poor Sleep,5.7
Female,Tablet,Yes,Poor Sleep,5.06
Female,Smartphone,Yes,Poor Sleep,5.25
Female,TV,Yes,Poor Sleep,7.8
Female,Tablet,Yes,Poor Sleep,3.36
Male,Smartphone,Yes,Poor Sleep,5.51
Male,TV,Yes,Poor Sleep,3.55
Male,Smartphone,Yes,Poor Sleep,4.24
Female,Smartphone,Yes,Poor Sleep,3.64
Male,TV,Yes,Poor Sleep,5.31
Male,Smartphone,Yes,Poor Sleep,4.21
Female,TV,Yes,Poor Sleep,5.4
Female,Smartphone,Yes,Poor Sleep,4.98
Female,Laptop,Yes,Poor Sleep,5.05
Male,Tablet,Yes,Poor Sleep,4.95
Male,Smartphone,Yes,Poor Sleep,3.84
Male,TV,Yes,Poor Sleep,5.65
Male,Laptop,Yes,Poor Sleep,3.8
Female,Smartphone,Yes,Poor Sleep,4.68
Female,Tablet,Yes,Poor Sleep,4.52
Male,Smartphone,Yes,Poor Sleep,5.9
Male,TV,Yes,Poor Sleep,3.93
Male,Laptop,Yes,Poor Sleep,4.08
Female,TV,Yes,Poor Sleep,4.66
Female,Smartphone,Yes,Poor Sleep,5.36
Male,Laptop,Yes,Poor Sleep,4.09
Female,Smartphone,Yes,Poor Sleep,5.38
Male,Smartphone,Yes,Poor Sleep,3.33
Female,TV,Yes,Poor Sleep,3.93
Female,Smartphone,Yes,Poor Sleep,6.84
Female,Smartphone,Yes,Poor Sleep,3.57
Female,Smartphone,Yes,Poor Sleep,5.28
Female,Tablet,Yes,Poor Sleep,5.3
Female,TV,Yes,Poor Sleep,3.76
Female,Tablet,Yes,Poor Sleep,5.3
Male,Smartphone,Yes,Poor Sleep,3.92
Male,TV,Yes,Poor Sleep,3.6
Male,Smartphone,Yes,Poor Sleep,4.66
Male,Smartphone,Yes,Poor Sleep,4.41
Male,TV,Yes,Poor Sleep,6.38
Female,TV,Yes,Poor Sleep,4.21
Male,Tablet,Yes,Poor Sleep,6.91
Male,Tablet,Yes,Poor Sleep,6.07
Male,Smartphone,Yes,Poor Sleep,4.04
Female,Laptop,Yes,Poor Sleep,5.7
Male,Smartphone,Yes,Poor Sleep,7.09
Male,TV,Yes,Poor Sleep,4.45
Female,Tablet,Yes,Poor Sleep,7.85
Female,TV,Yes,Poor Sleep,5.19
Female,Laptop,Yes,Poor Sleep,6.0
Female,Laptop,Yes,Poor Sleep,4.84
Male,TV,Yes,Poor Sleep,4.96
Male,Smartphone,Yes,Poor Sleep,3.93
Female,Smartphone,Yes,Poor Sleep,5.78
Male,Laptop,Yes,Poor Sleep,4.3
Male,TV,Yes,Poor Sleep,4.72
Male,Laptop,Yes,Poor Sleep,3.37
Female,TV,Yes,Poor Sleep,9.19
Female,TV,Yes,Poor Sleep,4.51
Female,Smartphone,Yes,Poor Sleep,5.29
Male,Smartphone,Yes,Poor Sleep,6.07
Female,Smartphone,Yes,Poor Sleep,4.84
Female,Laptop,Yes,Poor Sleep,5.34
Female,TV,Yes,Poor Sleep,6.56
Male,Laptop,Yes,Poor Sleep,4.63
Female,Tablet,Yes,Poor Sleep,8.92
Male,Smartphone,Yes,Poor Sleep,9.8
Male,Smartphone,Yes,Poor Sleep,3.17
Male,Tablet,Yes,Poor Sleep,7.57
Female,Smartphone,Yes,Poor Sleep,4.03
Female,Laptop,Yes,Poor Sleep,4.91
Male,Smartphone,Yes,Poor Sleep,4.51
Female,Laptop,Yes,Poor Sleep,5.66
Female,Smartphone,Yes,Poor Sleep,3.12
Female,Smartphone,Yes,Poor Sleep,4.44
Female,TV,Yes,Poor Sleep,4.33
Male,Tablet,Yes,Poor Sleep,5.91
Female,TV,Yes,Poor Sleep,7.3
Male,Smartphone,Yes,Poor Sleep,4.65
Male,Tablet,Yes,Poor Sleep,5.01
Male,Laptop,Yes,Poor Sleep,3.99
Male,Smartphone,Yes,Poor Sleep,3.64
Female,Smartphone,Yes,Poor Sleep,5.42
Female,TV,Yes,Poor Sleep,4.48
Male,TV,Yes,Poor Sleep,4.75
Male,TV,Yes,Poor Sleep,4.84
Male,Smartphone,Yes,Poor Sleep,5.44
Male,Laptop,Yes,Poor Sleep,4.32
Male,TV,Yes,Poor Sleep,4.77
Female,Smartphone,Yes,Poor Sleep,4.93
Female,TV,Yes,Poor Sleep,5.11
Male,TV,Yes,Poor Sleep,5.83
Female,TV,Yes,Poor Sleep,8.0
Male,Tablet,Yes,Poor Sleep,4.69
Male,Smartphone,Yes,Poor Sleep,3.47
Female,Smartphone,Yes,Poor Sleep,5.87
Female,Smartphone,Yes,Poor Sleep,6.77
Male,Smartphone,Yes,Poor Sleep,4.32
Female,Laptop,Yes,Poor Sleep,3.82
Male,Smartphone,Yes,Poor Sleep,4.46
Male,Laptop,Yes,Poor Sleep,5.66
Male,Smartphone,Yes,Poor Sleep,5.72
Female,Tablet,Yes,Poor Sleep,3.44
Male,TV,Yes,Poor Sleep,3.2
Female,Laptop,Yes,Poor Sleep,4.1
Female,TV,Yes,Poor Sleep,6.47
Female,Smartphone,Yes,Poor Sleep,3.73
Female,Laptop,Yes,Poor Sleep,3.81
Male,Smartphone,Yes,Poor Sleep,3.37
Female,Smartphone,Yes,Poor Sleep,6.16
Female,Tablet,Yes,Poor Sleep,5.16
Male,Smartphone,Yes,Poor Sleep,5.18
Female,Tablet,Yes,Poor Sleep,7.07
Female,Smartphone,Yes,Poor Sleep,5.66
Male,TV,Yes,Poor Sleep,4.96
Male,TV,Yes,Poor Sleep,6.27
Male,TV,Yes,Poor Sleep,3.8
Male,Smartphone,Yes,Poor Sleep,7.9
Male,TV,Yes,Poor Sleep,4.59
Male,Smartphone,Yes,Poor Sleep,4.19
Female,TV,Yes,Poor Sleep,3.39
Male,Laptop,Yes,Poor Sleep,5.35
Female,TV,Yes,Poor Sleep,4.99
Female,Smartphone,Yes,Poor Sleep,5.13
Female,TV,Yes,Poor Sleep,7.33
Female,Smartphone,Yes,Poor Sleep,4.41
Female,TV,Yes,Poor Sleep,4.75
Male,Tablet,Yes,Poor Sleep,4.54
Female,TV,Yes,Poor Sleep,5.2
Female,Tablet,Yes,Poor Sleep,4.97
Male,TV,Yes,Poor Sleep,3.04
Male,TV,Yes,Poor Sleep,6.04
Male,TV,Yes,Poor Sleep,4.99
Male,Laptop,Yes,Poor Sleep,5.87
Male,Smartphone,Yes,Poor Sleep,4.7
Male,TV,Yes,Poor Sleep,3.49
Female,Smartphone,Yes,Poor Sleep,6.34
Female,TV,Yes,Poor Sleep,3.57
Male,Smartphone,Yes,Poor Sleep,5.09
Male,TV,Yes,Poor Sleep,3.62
Male,Smartphone,Yes,Poor Sleep,6.84
Female,TV,Yes,Poor Sleep,3.71
Male,Laptop,Yes,Poor Sleep,3.42
Male,Smartphone,Yes,Poor Sleep,6.36
Female,Smartphone,Yes,Poor Sleep,4.34
Female,Smartphone,Yes,Poor Sleep,9.6
Male,Laptop,Yes,Poor Sleep,7.41
Female,Smartphone,Yes,Poor Sleep,5.97
Male,TV,Yes,Poor Sleep,4.24
Female,Smartphone,Yes,Poor Sleep,6.86
Male,Smartphone,Yes,Poor Sleep,4.85
Female,TV,Yes,Poor Sleep,6.9
Male,Smartphone,Yes,Poor Sleep,6.02
Female,Laptop,Yes,Poor Sleep,3.05
Female,Smartphone,Yes,Poor Sleep,3.44
Female,Tablet,Yes,Poor Sleep,4.69
Male,Laptop,Yes,Poor Sleep,6.4
Female,Smartphone,Yes,Poor Sleep,4.72
Male,Laptop,Yes,Poor Sleep,4.95
Male,Laptop,Yes,Poor Sleep,5.99
Female,TV,Yes,Poor Sleep,5.72
Female,Smartphone,Yes,Poor Sleep,4.32
Female,TV,Yes,Poor Sleep,3.82
Male,TV,Yes,Poor Sleep,7.97
Male,Smartphone,Yes,Poor Sleep,4.73
Male,Laptop,Yes,Poor Sleep,4.53
Female,TV,Yes,Poor Sleep,4.96
Female,Laptop,Yes,Poor Sleep,4.23
Female,TV,Yes,Poor Sleep,6.17
Female,Smartphone,Yes,Poor Sleep,4.97
Female,Smartphone,Yes,Poor Sleep,4.83
Female,Smartphone,Yes,Poor Sleep,6.23
Male,Laptop,Yes,Poor Sleep,4.4
Female,Smartphone,Yes,Poor Sleep,4.17
Male,TV,Yes,Poor Sleep,5.6
Male,Laptop,Yes,Poor Sleep,4.74
Male,Laptop,Yes,Poor Sleep,4.03
Female,Smartphone,Yes,Poor Sleep,4.65
Female,Smartphone,Yes,Poor Sleep,6.65
Female,Smartphone,Yes,Poor Sleep,5.35
Male,Laptop,Yes,Poor Sleep,3.01
Female,TV,Yes,Poor Sleep,4.93
